date,level,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
2015-01-09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,1,SZSE.002736,SHSE.600588,SZSE.300059,SZSE.300033,SZSE.000066,SHSE.601766,SZSE.300124,SZSE.002049,SZSE.002074,SHSE.600570,SZSE.002568,SHSE.601012,SHSE.601336,SZSE.002466,SZSE.002410,SHSE.601988,SHSE.601328,SZSE.002311,SZSE.002493,SHSE.600352,SHSE.601601,SZSE.300223,SZSE.002352,SHSE.601628,SHSE.600690,SZSE.002241,SHSE.603288,SHSE.601169,SHSE.601318,SHSE.603019,SZSE.300142,SHSE.600346,SZSE.000625,SHSE.600000,SZSE.002460,SZSE.002555,SZSE.002230,SHSE.601901,SZSE.002001,,,,,,,,,,,,,,,,,,,,,
2015-01-16,2,SHSE.600015,SHSE.601398,SHSE.600176,SHSE.600489,SZSE.000768,SHSE.601818,SZSE.002714,SHSE.600406,SHSE.600660,SHSE.601288,SHSE.600104,SZSE.300207,SZSE.000651,SZSE.002415,SHSE.601857,SHSE.601877,SZSE.000703,SHSE.600741,SZSE.300316,SHSE.600893,SHSE.600547,SZSE.002027,SZSE.002236,SHSE.601216,SHSE.601166,SHSE.601939,SHSE.601998,SHSE.600048,SHSE.600161,SZSE.000876,SHSE.600085,SZSE.002120,SZSE.002202,SHSE.600036,SZSE.300274,SZSE.002008,SHSE.600383,SHSE.601688,SHSE.600028,,,,,,,,,,,,,,,,,,,,,
2015-01-16,3,SZSE.002594,SZSE.002271,SZSE.300015,SHSE.600900,SHSE.601989,SHSE.600089,SHSE.601799,SHSE.600460,SZSE.002064,SHSE.600309,SHSE.600438,SZSE.002007,SHSE.600010,SZSE.002475,SZSE.000963,SZSE.002601,SZSE.002648,SZSE.000001,SZSE.000538,SZSE.000069,SHSE.600196,SHSE.601788,SZSE.000661,SHSE.600655,SZSE.000708,SHSE.601006,SHSE.600760,SZSE.000333,SHSE.601186,SZSE.000063,SHSE.601360,SHSE.601888,SZSE.000301,SHSE.600050,SHSE.601899,SZSE.300014,SZSE.000408,SHSE.600606,SHSE.600763,,,,,,,,,,,,,,,,,,,,,
2015-01-16,4,SZSE.002709,SHSE.601088,SZSE.000800,SZSE.000002,SZSE.000895,SZSE.000100,SZSE.300122,SHSE.601668,SHSE.600600,SHSE.600011,SHSE.600436,SZSE.002179,SZSE.300408,SZSE.000776,SZSE.002607,SHSE.600016,SHSE.601009,SZSE.002129,SZSE.000792,SZSE.000338,SHSE.600183,SHSE.601669,SHSE.603369,SZSE.002142,SHSE.600150,SZSE.002032,SHSE.600887,SZSE.000877,SHSE.603806,SHSE.600276,SHSE.600061,SHSE.600219,SHSE.600029,SHSE.600886,SHSE.600585,SHSE.601633,SHSE.600132,SZSE.000725,SHSE.601390,,,,,,,,,,,,,,,,,,,,,
2015-01-16,5,SHSE.601238,SHSE.601117,SZSE.000858,SZSE.300003,SHSE.601618,SHSE.600795,SZSE.002600,SZSE.000425,SHSE.600188,SZSE.002414,SHSE.601225,SHSE.600837,SZSE.000157,SHSE.600009,SHSE.601111,SHSE.600519,SHSE.600031,SHSE.601377,SZSE.002252,SHSE.600426,SHSE.600111,SHSE.601808,SHSE.600999,SZSE.002459,SHSE.601919,SHSE.603993,SZSE.000786,SZSE.002304,SHSE.600019,SHSE.601898,SHSE.600115,SHSE.600018,SHSE.601600,SZSE.002371,SHSE.600030,SHSE.600362,SHSE.600809,SHSE.601100,SHSE.601800,,,,,,,,,,,,,,,,,,,,,
2015-01-23,1,SHSE.600547,SZSE.000768,SZSE.002230,SHSE.603993,SZSE.002074,SZSE.002493,SZSE.300207,SHSE.601766,SHSE.603019,SZSE.002459,SZSE.000408,SHSE.601216,SHSE.601628,SHSE.600010,SHSE.600606,SHSE.600352,SHSE.601601,SZSE.300015,SZSE.002179,SHSE.600276,SHSE.600346,SHSE.600436,SHSE.600489,SZSE.300122,SZSE.002032,SZSE.002007,SZSE.300274,SHSE.603288,SHSE.600760,SHSE.600438,SZSE.002236,SZSE.002120,SHSE.600009,SHSE.600763,SZSE.002241,SZSE.002352,SHSE.600161,SZSE.002371,SZSE.300408,SZSE.002607,,,,,,,,,,,,,,,,,,,,
2015-01-23,2,SZSE.002271,SHSE.601633,SHSE.600460,SZSE.000661,SHSE.603806,SZSE.000786,SZSE.002475,SHSE.601888,SHSE.601360,SZSE.300003,SZSE.002600,SZSE.002648,SZSE.300223,SZSE.002414,SZSE.300014,SZSE.002027,SHSE.600048,SHSE.600406,SZSE.000002,SZSE.002008,SHSE.600150,SHSE.600660,SHSE.600845,SZSE.300316,SZSE.002709,SHSE.600362,SHSE.600655,SZSE.000066,SZSE.002252,SHSE.601899,SHSE.601857,SZSE.002460,SHSE.600016,SZSE.000963,SZSE.002594,SZSE.002064,SZSE.000703,SHSE.600111,SHSE.600332,SHSE.600584,,,,,,,,,,,,,,,,,,,,
